"pid","reason_index","reason","systemic_vs_individual","toward_government","nonsensical","category","rationale"
"AD439vx",1,"Low wage","systemic",0,0,"economic","Low wages are typically influenced by market conditions, industry standards, and economic policies, which are systemic factors."
"AD439vx",2,"Increased cost of living","systemic",0,0,"economic","The increased cost of living is typically influenced by systemic economic factors such as inflation, market trends, and policy decisions."
"AD439vx",3,"Corporate takeover of all aspects of life","systemic",0,0,"economic","The reason points to systemic issues related to corporate influence over various sectors."
"AD439vx",4,"Government","systemic",1,0,"political","The reason directly refers to the government, indicating a systemic and political cause."
"WG407wu",1,"Ignored","none",0,1,"other","The reason 'Ignored' is too vague and lacks context to classify meaningfully."
"WG407wu",2,"Belittled","individual",0,0,"social","The reason 'belittled' refers to personal experiences or treatment by others, which is an individual-level issue related to social interactions."
"WG407wu",3,"Stigmatized",NA,0,0,"social","Stigmatization is a social issue related to identity and community perceptions."
"WG407wu",4,"Berated","none",0,1,"other","The reason 'Berated' is nonsensical as it does not provide a coherent explanation."
"WG407wu",5,"Underfunded","systemic",0,0,"economic","Refers to a lack of financial resources, often related to systemic issues in funding allocation."
"WN429rs",1,"Their bills are high.","individual",0,0,"economic","The reason focuses on personal financial obligations."
"WN429rs",2,"Their freedoms are being challenged.","systemic",0,0,"social","The reason suggests societal or institutional factors affecting freedoms."
"WN429rs",3,"They are fearful.","individual",0,0,"other","The reason attributes fear to personal feelings or psychological state."
"ID744yz",1,"no education","both",0,0,"social","Lack of education can be due to systemic issues like access to schools and individual factors like personal choices."
"ID744yz",2,"no money","individual",0,0,"economic","Lack of personal financial resources."
"ID744yz",3,"social stigmas","systemic",0,0,"social","Social stigmas are societal trends that affect identity and community."
"ID744yz",4,"cost of living in USA","systemic",0,0,"economic","The cost of living is influenced by systemic economic factors such as market prices and housing costs."
"ID744yz",5,"i","none",0,1,"other","The input is a single letter and does not provide a coherent reason."
"MP667bz",1,"The can't make ends meet financially","systemic",0,0,"economic","The reason relates to financial difficulties, which are often influenced by systemic economic factors."
"MP667bz",2,"Struggle for housing","systemic",0,0,"economic","The struggle for housing is often due to systemic economic factors such as market conditions and housing policies."
"MP667bz",3,"Struggle for employment","both",0,0,"economic","Employment struggles can be due to both systemic factors like market conditions and individual factors like skills."
"MP667bz",4,"Defeatist or victim mentality","individual",0,0,"social","The reason attributes the issue to personal mindset or attitude, which is an individual factor."
"PC452hr",1,"Income inequality","systemic",0,0,"economic","Income inequality is a systemic issue related to economic structures and policies."
"PC452hr",2,"gender and sexual orientation discrimination","systemic",0,0,"social","Discrimination based on gender and sexual orientation is a societal issue."
"PC452hr",3,"eroding of civil rights","systemic",0,0,"social","Erosion of civil rights is a systemic issue related to societal structures and policies."
"PC452hr",4,"access to healthcare","systemic",0,0,"social","Access to healthcare is influenced by systemic factors such as healthcare systems and policies."
"PC452hr",5,"limits on voting rights","systemic",1,0,"political","Voting rights are influenced by laws and policies, which are systemic and often involve government action."
"BZ761sk",1,"low income","systemic",0,0,"economic","Low income is often related to systemic economic factors such as job market conditions or wage policies."
"BZ761sk",2,"low social status","individual",0,0,"social","Low social status is related to personal identity and community standing."
"BZ761sk",3,"lack of education","both",0,0,"social","Lack of education can be due to systemic issues like inadequate schooling systems and individual factors like personal choices."
"BZ761sk",4,"discrimination","systemic",0,0,"social","Discrimination is a systemic issue related to societal trends and structures."
"BZ761sk",5,"T***p and his ilk","none",0,1,"other","The reason is nonsensical as it lacks context and clarity."
"QL817iz",1,"Abortion","none",0,1,"other","The term 'Abortion' alone does not provide a reason or explanation."
"QL817iz",2,"Lower wages","systemic",0,0,"economic","Lower wages are typically influenced by systemic economic factors such as market conditions, industry standards, or labor policies."
"QL817iz",3,"Workplace discrimination","systemic",0,0,"social","Discrimination in the workplace is a systemic issue related to societal trends and institutional practices."
"OL727mf",1,"Obsolete","none",0,1,"other","The term 'obsolete' alone is too vague and lacks context to classify as a specific reason."
"OL727mf",2,"Unemployed","individual",0,0,"economic","The reason 'unemployed' refers to an individual's employment status, which is a personal attribute."
"OL727mf",3,"Irrelevent","none",0,1,"other","The reason is off-topic or meaningless."
"KV213ic",1,"Money","none",0,1,"other","The reason 'Money' is too vague and lacks context to classify."
"KV213ic",2,"Housing","systemic",0,0,"economic","Refers to the economic aspect of housing markets and availability."
"KV213ic",3,"Affordability","systemic",0,0,"economic","Affordability typically relates to economic structures such as pricing, income levels, and market conditions."
"LD857oy",1,"money","none",0,1,"other","The reason 'money' is too vague and lacks context to classify properly."
"LD857oy",2,"jobs","systemic",0,0,"economic","Refers to employment and labor markets, which are systemic."
"LD857oy",3,"social status",NA,0,0,"social","Social status refers to a person's standing or importance in relation to others within a society, often influenced by systemic social structures."
"YB397tb",1,"Costs higher for everything","systemic",0,0,"economic","The reason refers to a systemic economic issue of rising costs affecting various goods and services."
"YB397tb",2,"No DEI support","systemic",0,0,"social","Lack of Diversity, Equity, and Inclusion (DEI) support is a systemic issue related to social structures and institutional practices."
"YB397tb",3,"Fear of government","systemic",1,0,"political","The reason involves a perception or reaction to government actions or policies, which is systemic and political in nature."
"YB397tb",4,"Unemployment high","systemic",0,0,"economic","Unemployment is typically influenced by economic structures and market conditions."
"YB397tb",5,"Can’t make ends meet","both",0,0,"economic","The reason involves both systemic economic factors like wages and individual financial management."
"YW134br",1,"No economic mobility","systemic",0,0,"economic","Lack of economic mobility is often due to systemic factors like market structures and societal trends."
"YW134br",2,"Stagnant wages","systemic",0,0,"economic","Stagnant wages are typically a result of broader economic structures and market conditions."
"YW134br",3,"Job insecurity","systemic",0,0,"economic","Job insecurity is often due to market conditions and economic structures."
"YW134br",4,"Lack of leisure","individual",0,0,"other","The reason focuses on personal time management or lifestyle choices, which are individual factors."
"YW134br",5,"Antagonistic news media","systemic",0,0,"social","The reason involves media as a societal institution influencing public perception."
"LG535zl",1,"racism","systemic",0,0,"social","Racism is a systemic issue related to societal trends and structures."
"LG535zl",2,"poverty","systemic",0,0,"economic","Poverty is often linked to systemic economic structures and policies."
"LG535zl",3,"uneducated","individual",0,0,"social","The reason 'uneducated' refers to a personal attribute or lack of education, which is an individual factor."
"LG535zl",4,"unseen","none",0,1,"other","The term 'unseen' is too vague and lacks context to classify."
"LG535zl",5,"unheard","none",0,1,"other","The reason 'unheard' is too vague and lacks context to classify meaningfully."
"LA424lb",1,"lack of skills","individual",0,0,"other","The reason focuses on personal attributes or skills, which are individual factors."
"LA424lb",2,"low social status","both",0,0,"social","Low social status can be influenced by systemic factors like societal structures and individual factors like personal choices."
