"id","left_behind_score","reasons_csv","systemic","government","economic_or_cultural","history","trajectory"
"KG931wh",1,"none",7,1,4,6,6
"VO721kd",4,"economic struggles, career stagnation, lack of family, housing insecurity",2,1,2,5,2
"FZ048vk",5,"low income, disability, lack of benefits, medical documentation, financial instability, peer comparison",1,4,2,6,2
"WM184wm",3,"educational inequality, zoning restrictions, economic disparity, opportunity gap",2,3,3,2,3
"GS727ti",4,"unemployment, gig work, career stagnation, financial stress, self-fulfillment, peer comparison",2,1,2,5,2
"JM046ls",1,"none",7,1,4,6,6
"YU703oj",4,"financial struggles, health insurance, qualification gaps",2,4,2,5,2
"VY243nv",3,"lack of experiences, social skills, financial struggles, personal actions",7,1,3,6,3
"DF300ki",4,"housing costs, financial disparity, economic changes",1,2,2,2,2
"RF010xy",4,"gender bias, health studies, unequal demands, lack of support",1,2,6,1,2
"JN822jx",5,"housing costs, financial insecurity, lack of milestones, inheritance reliance, retirement concerns, economic disparity",2,2,2,5,2
"IW455ya",1,"technology, cultural shifts",6,1,6,6,5
"XJ512ns",4,"career stagnation, family expectations, peer comparison, financial instability, educational gaps",2,1,3,5,2
"YB659ta",3,"financial struggles, relationship issues",4,1,3,5,2
"FW806vy",4,"career change, job loss, technology advancement, age concerns, anxiety, trauma, automation impact",2,3,3,2,2
"UB643ue",4,"single parent, lack of support, financial stress, time constraints",2,2,3,5,2
"KS809gz",3,"employment, gender bias, income disparity",2,2,2,5,2
"OG485nh",3,"career progress, housing costs, peer comparison, personal goals",5,1,2,5,3
"RB280al",2,"job market, small town, low pay",2,2,2,6,2
"RV570ep",3,"ageism, underestimation, stereotypes, exclusion, disrespect",5,1,6,2,2
"XQ558tt",1,"high cost of living, economic disparity, job insecurity, inflation, wage stagnation",1,2,2,6,4
"HT082zb",3,"different values, nature focus, peer pressure, tech gap, work priorities",5,1,6,5,2
"VV360uz",3,"lack of representation, political exclusion",1,4,6,3,2
"EY436xa",3,"financial security, opportunity gap, generational comparison",1,1,2,2,4
"RK008in",3,"financial struggles, online competition",2,1,2,6,2
"XO687zh",4,"age discrimination, employment challenges, undervalued experience, knowledge overlooked",1,2,2,1,2
"BN683kh",4,"high taxes, political neglect, unfair spending",1,4,2,1,2
"ZW389ex",5,"age discrimination, job market, economic conditions, mental health, caregiving responsibilities, covid impact, financial instability",2,4,2,2,2
"ZY624zr",4,"career stagnation, financial struggles, lack of progress, missed opportunities, peer comparison",2,1,2,5,2
"CG199xe",4,"sibling favoritism, academic performance, lack of attention, family dynamics",6,1,6,1,2
"WM775rx",3,"high taxes, cost of living, single status, lack of benefits",2,4,2,6,2
"TF448bf",3,"resistance to change, political turmoil, traditional values",2,3,6,2,2
"IW068if",3,"social isolation, lack of recognition, exclusion, communication gaps",5,1,6,5,2
"DV209rg",1,"inequality, philosophy",1,2,4,6,6
"WT519ki",4,"financial security, fewer rights",1,3,2,2,2
"YA457dg",3,"technology gap, social media, career stagnation, financial strain, education level, peer comparison, health issues, geographic isolation, cultural shifts, relationship changes",4,2,4,5,4
"AG709ww",3,"skill gap, industry changes, technology advancement, competition, knowledge update",2,1,2,5,2
"PG316zo",3,"economics, education, socialability, upbringing, networking",1,3,2,5,2
"JH512hv",1,"privilege, representation, social status",1,1,4,1,4
"YD948tj",2,"career change, income disparity, status loss, corporate advancement, peer comparison",3,1,2,5,3
"KB542qb",3,"lack of recognition, social exclusion, cultural differences, economic disparity, career stagnation, educational gaps, technological changes, generational differences",2,3,4,4,2
"SW020es",4,"career stagnation, financial instability, lack of progress, peer comparison",5,1,2,5,2
"LX380kr",4,"income disparity, job market, career progression, financial insecurity",2,1,2,5,3
"YN948dh",4,"social isolation, financial insecurity, age discrimination, lack of support, career stagnation",1,2,4,1,2
"JF207gd",3,"exclusion, belonging, american dream",1,3,2,5,2
"RQ906bx",4,"income, housing costs",1,2,2,6,2
"FK664ez",2,"different perspective, social isolation, misunderstanding, lack of recognition",5,1,7,3,4
"VN588gk",5,"chronic illness, health issues, disability income, mobility issues, societal support, work limitations",1,4,2,1,2
"YS026tx",4,"technology gap, nostalgia, cultural shift, complexity, generational differences",1,1,6,1,2
"BA969ut",1,"age, hard work, impairment, self-determination",5,1,3,5,6
"FT444df",4,"political climate, social values, leadership decisions, discrimination, corruption",1,4,6,4,2
"IJ244nc",2,"travel restrictions, financial limitations, healthcare access",1,4,6,5,2
"SB204bg",4,"divorce, age comparison",5,1,5,2,2
"IY459uk",4,"low income, lack of savings, emergency unpreparedness, inadequate medical care",1,3,2,5,2
"ZI289tp",5,"homelessness, drug addiction, social class, economic disparity, job loss, health issues, education gap, technology access, mental health, community support",1,3,2,4,2
"PX628uy",3,"technology advancement, knowledge gap",1,1,2,5,2
"DL870tq",5,"education access, job opportunities, food deserts",1,3,4,2,2
"WG155do",1,"self-isolation, misunderstanding, individual choice, different path",7,1,6,5,4
"BD747ot",3,"financial support, family dynamics",5,1,2,1,2
"UU234cj",4,"lack of support, career uncertainty, health neglect",2,1,4,2,2
"YH607ob",1,"social exclusion, career stagnation, technology gap",5,1,5,5,6
"PJ136ll",3,"career stagnation, financial instability, personal expectations, peer comparison",5,1,2,5,2
"CL525ij",4,"missed opportunities, past rejections, exclusion, lack of support, limited access, career stagnation",2,1,2,3,2
"HH826sp",1,"no concerns, feeling blessed, lucky overall",7,1,4,6,6
"ZJ384mu",4,"economic disparity, job opportunities, wage stagnation, education access, technology gap",1,3,1,5,2
"VW388us",4,"health issues, education level, technology skills, income disparity, financial struggles",2,1,2,2,2
"AR222lk",4,"income disparity, employment instability, basic needs insecurity, economic uncertainty, future anxiety",1,3,2,6,2
"JM515sx",4,"health issues, workforce exclusion, social isolation",2,1,3,5,2
"DG393mo",5,"lack of support, family issues, government neglect",1,4,2,6,2
"JF171gy",3,"career stagnation, housing costs, social comparison",5,1,2,5,2
"KP740il",3,"government policies, safety concerns, political decisions, citizen priorities",1,4,2,6,5
"GY396ri",1,"financial instability, unmet goals",5,1,2,6,5
"NH558fu",4,"underfunding, low pay, lack of support, policy neglect",1,4,4,2,2
"YU707zw",2,"self-reliance, personal growth, motivation, independence, initiative",6,1,1,5,5
"PN091zs",4,"financial struggles, career stagnation, government support, social isolation, self-reliance",1,4,2,4,2
"IB006kj",4,"loneliness, technology, mental health, social disconnection, nostalgia, economic hardship, authenticity, societal change",2,2,6,5,2
"WE857pj",4,"poverty, education gaps, family instability, late start, financial struggles, career setbacks",1,4,2,2,2
"BU741iq",4,"family expectations, introversion, single parenthood, social isolation",5,1,6,5,2
"II888eo",4,"relationship status, traditional family, life partner, marriage expectations, societal norms",5,1,6,2,2
"VA658ao",4,"financial strain, lack of support, income disparity",2,3,2,5,2
"FB409hc",4,"financial disparity, credit access, healthcare costs, support network, economic inequality",1,2,2,5,2
"VM013eb",3,"career progression, income disparity, self employment",5,1,2,5,2
"SW974qp",5,"age discrimination, political neglect, environmental concerns, social inequality, religious bias, gender issues",1,4,5,2,2
"WH640ds",4,"lack of purpose, social isolation, stagnation, comparison, unfulfilled goals",5,1,6,5,2
"HF627ps",3,"promotion bias, economic disparity, ai advancement",1,4,2,5,2
"JR524ii",4,"mounting debt, job insecurity, age discrimination, ai advancements, financial instability, health risks, career stagnation",2,2,2,2,2
"SR919qq",1,"financial comfort, literacy, curiosity, resilience, personal growth",6,1,4,5,6
"LB035hp",3,"career stagnation, financial struggles, education gap, social isolation, technology changes",3,1,5,3,2
"KN331zm",4,"job loss, hiring freezes, economic uncertainty, competition, self-doubt",2,1,2,6,2
"KI255uh",3,"lack of representation, policy exclusion, adverse effects, service access, community needs",1,4,6,2,2
"AR459ei",4,"neglect, minimal services, technology gap, medical gap, social invisibility",1,3,5,1,2
"FZ844rf",4,"lack of opportunities, job access, education access",1,3,2,3,2
"TE096nn",3,"career stagnation, financial pressure, peer comparison, personal expectations, societal pressure",2,1,3,5,5
"HL901lr",4,"financial struggles, career stagnation, social isolation, lack of opportunities",2,1,2,5,2
"IL272mv",4,"stagnation, career plateau, social isolation, technology gap, financial strain",3,1,6,1,2
"JV266fd",4,"career stagnation, technology gap, financial strain, time constraints, skill mismatch",2,1,2,5,2
"NS006zv",4,"career stagnation, parenting responsibilities, peer comparison, personal expectations",5,1,3,5,3
"CF012iz",4,"legislation enforcement, civil rights erosion, privacy erosion, international comparison, health issues",2,4,4,5,2
"YO500ke",4,"career stagnation, financial strain, distance relationships, music trends, limited time, limited money, limited energy",2,1,3,5,2
"GM461qv",2,"social isolation",5,1,6,5,4
"XA323ri",1,"personal choices",7,1,4,6,5
"FG436ku",1,"personal choices, supportive upbringing, self evaluation",6,1,4,5,6
"KC864lx",1,"personal goals, expectations",7,1,1,7,6
"GZ031of",5,"caregiving responsibilities, social isolation, lack of support, career stagnation, emotional exhaustion, misunderstanding, social stigma, friendship loss",1,1,6,2,2
"RV165fl",5,"ageism, gender bias, social isolation, technology gap, cultural shifts",1,1,6,1,2
"EH114pg",1,"contentment",7,1,4,7,6
"IR836xh",4,"income inequality, economic disparity, wealth gap",1,3,2,1,2
"IS917tz",4,"financial struggles, parental pressure",1,1,1,5,2
"QD203mo",4,"family dynamics, trust issues, communication barriers, lack of support, emotional distance",5,1,7,5,2
"XK398tk",1,"innovation gap, life balance, catching up",4,1,4,6,5
"DO703rt",4,"financial instability, career uncertainty, peer comparison",2,1,2,5,2
"VR318yq",2,"lack of effort, missed opportunities, comparison, self-doubt, procrastination",5,1,2,5,2
"YU161vn",1,"comparison, progress perception, life race, personal pace, goal focus",5,1,4,5,5
"IU153ys",3,"career progress, education level, financial stability, relationship status, personal growth",5,1,4,5,2
"WE395gy",1,"personal choices, education decisions, financial habits, health habits",6,1,1,5,5
"JF344ub",1,"discrimination, poor treatment",3,1,7,5,4
"YS645yr",4,"marginalization, visibility, social anxiety, lack of connection, identity challenges",2,1,6,1,2
"BR905ew",4,"housing costs, financial constraints, work-life balance, generational comparison",2,1,2,5,2
"AM446ec",4,"job dissatisfaction, family support, housing insecurity, financial instability, lack of partnership",2,1,4,5,2
"RN111vv",3,"age, generational gap, cultural shifts, exclusion, language barriers",2,1,6,2,3
"JC920sd",5,"gender inequality, pay gap, discrimination, political climate, fascism, oligarchy, immigration policies, lgbtq+ rights, press freedom, judicial bias",1,5,6,1,2
"IW128sz",1,"contentment, gratitude, family support, job satisfaction, financial stability, work-life balance, community involvement",7,1,4,5,7
"TK689nu",4,"financial struggles, social isolation, relationship status",2,1,3,5,2
"TU528ob",3,"children at home, financial constraints, travel limitations, peer comparison, empty nest expectations",5,1,4,2,2
"TA105la",3,"religious exclusion, cultural dominance, political influence, secular beliefs, lack of representation",2,4,6,2,2
"HY855nh",4,"financial struggles, income stagnation, ai knowledge gap",2,1,2,6,2
"MK233tu",4,"social anxiety, self-perception, isolation, identity struggle",6,1,7,1,2
"HT363bv",1,"systemic discrimination, economic inequality, colonial history, resource hoarding, political corruption, credit bias, voter disenfranchisement, corporate influence, social stratification, opportunity disparity",1,5,4,1,2
"HW228bp",4,"technology disconnect, social isolation, digital relationships, changing norms, lack of community",2,1,7,2,2
"RG025wa",4,"autism spectrum, underemployment, job loss, lower income, missed milestones, housing costs, limited savings, peer comparison",2,1,2,5,2
"MA423or",5,"financial status, isolation, undervalued work, medical negligence, poverty, health neglect, social isolation, disability ignorance",1,2,2,1,2
"QY410ow",3,"technology gap, career stagnation, social isolation, financial strain, education disparity",3,1,4,5,2
"YH076he",1,"political beliefs, self-reliance, talent perception, individualism, cultural views",7,1,3,7,7
"NI682pa",4,"societal values, lack of recognition, systemic barriers, economic inequality, cultural differences",1,1,6,3,2
"TS698ab",4,"aging, bias, isolation, invisibility, dissatisfaction, stamina, loss, generational gap",2,1,6,1,2
"PJ014nl",3,"social exclusion, personal interests, financial constraints, health issues, time limitations",5,1,6,5,2
"CU252tz",4,"career stagnation, financial struggles, education gap, social isolation, technology changes",5,1,2,5,4
"SJ620bp",4,"caregiving responsibilities, career stagnation, social isolation, financial strain, delayed retirement",2,1,6,3,2
"IF897yj",5,"social isolation, lack of guidance, stagnation, age expectations, connection difficulties",6,1,6,1,2
"AY506ri",4,"social anxiety, lack of preparation, career expectations, modern society, work anxiety",2,1,6,2,2
"PT564kb",4,"financial freedom, insurance lack, debt burden, career advancement, resource access",2,4,2,5,2
"TT028zm",5,"income inequality, education costs, healthcare system, debt burden, corporate greed, moral decline, corruption, rising costs",1,4,2,1,2
"YI996al",3,"missed opportunities, unrealized potential, regret, self-reflection",5,1,3,3,3
"QH644ue",2,"education access, financial growth, material wealth",2,1,2,5,4
"WF463nw",2,"education choices, career stagnation, missed opportunities, lack of motivation",6,1,3,3,3
"CS999ft",5,"career stagnation, financial struggles, relationship status, personal growth, education level",5,1,6,5,2
"VR912fh",4,"career stagnation, financial dependency, peer comparison, family expectations, personal growth, independence desire",5,1,3,5,3
