"id","left_behind_score","reasons_csv","systemic","government","economic","cultural","race","gender","age"
"WS064td",4,"unfulfilled promises, high expectations, sacrifices made, generational differences, work-life balance",6,2,4,4,2,2,3
"WK418dj",1,"personal setbacks, self-made mistakes",1,1,1,1,1,1,1
"VR515wd",3,"wealth disparity, investment success",5,1,4,2,1,1,2
"QS533iy",1,"equal opportunities",4,1,1,1,1,1,1
"ZG925ys",4,"financial support, education access, family resources, economic background, self-reliance",6,1,5,3,1,1,2
"OQ499jg",3,"gender discrimination, media portrayal, lack of representation, educational bias",6,1,2,4,1,5,2
"HY211wz",3,"economic disparity, career stagnation, social inequality",6,1,4,3,1,1,2
"NS037od",3,"racial bias, privilege awareness",6,2,2,4,3,2,2
"QZ247sn",4,"job prospects, wealth building, family planning, housing stability",5,1,5,2,1,3,3
"OV225ab",3,"delayed progress, time management, personal expectations",4,1,3,3,1,2,3
"SD242ab",3,"financial struggles, family expectations, peer pressure, personal choices",5,1,3,3,1,3,3
"WF321ea",4,"life milestones, career stagnation, financial stability, relationship status",4,1,3,3,1,2,5
"FV183bb",3,"financial insecurity, career stagnation",4,1,4,2,1,2,3
"JA179ax",3,"technology changes, peer advancement",5,1,2,2,1,1,3
"BX781le",3,"technology advancement, age gap, digital skills, rapid change",6,1,2,2,1,1,5
"EM055qv",1,"self-reliance, personal responsibility, hard work, self-improvement",1,1,1,1,1,1,1
"KF132mt",1,"goal setting, hard work, satisfaction, progress goals",1,1,1,1,1,1,1
"NS344pl",3,"financial constraints, outdated technology, old car, lack of smart appliances, modern lifestyle gap",5,1,5,3,1,1,2
"UJ700kp",3,"education gap, career stagnation, financial instability",5,1,5,2,1,1,3
"TF770kj",2,"life choices",2,1,2,2,1,1,2
"LU555hy",4,"career stagnation, wage disparity, goal progress, stress, self-expectations",5,1,5,2,1,2,2
"YZ699kq",4,"employment difficulty, low wages, resource scarcity",6,2,5,2,2,2,3
"DJ501nh",4,"healthcare costs, insurance expenses, policy influence, lobbying power",7,4,4,4,1,1,2
"TL935ko",3,"rising costs, technology creep, job automation, economic uncertainty",6,2,5,3,1,1,3
"GW484yw",2,"foster care, limited opportunities, lack of resources",6,2,3,3,1,1,2
"YM811wt",3,"economic situation, lower middle class, older generations, life progress, unmet expectations",6,2,4,3,1,2,3
"YB291ss",4,"housing costs, high rent, home buying complexity",6,4,5,3,1,1,2
"XY767ru",4,"relationship status, peer comparison, family expectations, social pressure",2,1,1,4,1,4,5
"ER575jg",3,"rapid change, cultural shifts, feeling outdated, social pressure",6,2,2,3,1,2,3
"TK193sf",5,"economic inequality, political corruption, social division, wealth disparity, government neglect",7,5,5,3,1,1,1
"UC245pi",4,"ageism, job opportunities, loss of family, loss of friends, loneliness, making new friends",5,2,1,3,1,1,5
"DG560np",1,"education quality",5,2,2,2,1,1,2
"AJ808cf",4,"relationship struggles, career uncertainty, business challenges, personal calling, self-employment goals",4,1,3,2,1,2,3
"OZ594cr",2,"age discrimination, missed opportunities",5,1,2,3,1,2,4
"ML138al",5,"financial struggles, late investing, no family, poverty background, lack of guidance, playing catch-up",6,1,5,3,1,2,4
"ZR555ou",3,"homeownership, financial constraints, peer comparison",5,2,4,3,1,2,3
"RR231en",1,"personal responsibility, self-comparison, happiness within, peaceful mindset",1,1,1,1,1,1,1
"OJ155ml",4,"bad social skills, no family, societal expectations, age judgements",6,1,2,4,1,2,5
"ZV129le",4,"income disparity, wealth gap, economic inequality",7,2,5,3,1,1,2
"XX794qc",4,"student loan debt, bad economy, under-employment, job loss, retirement savings, parental care",6,2,5,3,1,1,3
