"PID","lebe_cont","describe","cand_rightwing","cand_change_R","cand_exp","cand_change","cand_econ","cand_cult","leftbehind_gpt","reasons","systemic_gpt","gov_gpt","econ_gpt","cult_gpt","race_gpt","gender_gpt","age_gpt","n_reasons","cluster","avg_cosine_to_cluster","cluster_label","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"WS064td",54,"Was sold a promise that to go to college, follow dreams and start a family would all be easy in America. Even though I have accomplished that, I have had to sacrifice a lot more than previous generations while not getting to enjoy life as much as we should.",1.5,5,5,3,2,1,4,"unfulfilled promises, high expectations, sacrifices made, generational differences, work-life balance",6,2,4,4,2,2,3,5,2,0.473649221237433,"Personal growth",1,6,5,2,6,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,42,"woman","White","MA","$120,001-$140,000",7,5,1,0,0,1,0,NA
"WK418dj",12,"I do not feel left behind at all. I have had opportunities in my life to work hard and to succeed in whatever I would like to do. My setbacks have been of my own making and mistakes I have made along the way. I am blessed to be living in the greatest country in the world where opportunities are there if you want to try.",6,5,2,3,6,6,1,"personal setbacks, self-made mistakes",1,1,1,1,1,1,1,2,8,0.560783010444208,"Lack of opportunities",7,1,2,2,2,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,58,"woman","White","4yearColl","$100,001-$120,000",6,4,1,0,1,0,0,NA
"VR515wd",14,"Sometimes I feel left behind in terms of wealth. We are doing well but there are people that have invested well and are very wealthy. I feel left behind by some of those people honestly. But I'm grateful for what I have and don't complain at all.",7,3,4,5,7,7,3,"wealth disparity, investment success",5,1,4,2,1,1,2,2,4,0.574873161286276,"Inequality and disparity",7,1,1,1,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,53,"woman","White","GED","Over $200,000",11,2,1,0,1,0,0,NA
"QS533iy",0,"I do not feel behind at all and I don't understand why I would. I have the same opportunities as everyone else",5.5,7,1,1,7,4,1,"equal opportunities",4,1,1,1,1,1,1,1,4,0.551505303808413,"Inequality and disparity",4,4,1,5,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,53,"man","Hispanic, Latino, or Spanish origin","GED","$20,001-$40,000",2,2,0,1,1,0,0,NA
"ZG925ys",28,"I was raised by a lower class family. I did not grow up with a college fund, I was never given a car by my family, wedding funds, or help with down payments for a home. I had to rely on myself to get myself where I am today. I feel like others have been given a lot more of a head start in life.",5,5,4,3,5,5,4,"financial support, education access, family resources, economic background, self-reliance",6,1,5,3,1,1,2,5,7,0.529637714776919,"Financial struggles",6,6,6,6,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,33,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,1,0,0,NA
"OQ499jg",85,"I feel like I am discriminated for being a man. There's no interest that represents me out there. Even TV shows think I'm stupid and incompetent (see dumb husband commercials). Universities hate me (see college enrollment rates by gender). The entire world hates me for existing.",7,3,4,5,7,7,3,"gender discrimination, media portrayal, lack of representation, educational bias",6,1,2,4,1,5,2,4,4,0.508708975353219,"Inequality and disparity",4,1,2,5,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,39,"man","Asian",NA,"$60,001-$80,000",4,NA,0,1,1,0,0,NA
"HY211wz",90,"In our society there is always a hierarchy or top corporate people who are advanced and ahead while people at the bottom are at disadvantage quite often. I relate to being disadvantaged therefore I feel left behind but that is why hard work and dedication goes far.",2,6,6,2,2,2,3,"economic disparity, career stagnation, social inequality",6,1,4,3,1,1,2,3,4,0.69157715661331,"Inequality and disparity",1,6,1,1,6,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,26,"woman","Black or African American","4yearColl","$20,001-$40,000",2,4,0,0,0,0,1,NA
"NS037od",10,"I am a person of color and there's inherent issues that come with it that make me feel out of the loop. But I'm also privileged in other ways so I'm not completely left behind",2.5,2,6,6,4,1,3,"racial bias, privilege awareness",6,2,2,4,3,2,2,2,4,0.609010661503557,"Inequality and disparity",1,6,5,2,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,36,"woman","Asian","PHD","Over $200,000",11,6,0,0,0,1,0,NA
"QZ247sn",62,"The main reason is that I need to get a better job and build wealth for the future. Get a wife and house and children and all that, but it begins with getting a decent job.",5,5,3,3,5,5,4,"job prospects, wealth building, family planning, housing stability",5,1,5,2,1,3,3,4,7,0.471885509077623,"Financial struggles",5,3,3,5,3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,30,"man","Asian","2yearColl","$20,001-$40,000",2,3,0,1,0,0,1,NA
"OV225ab",15,"I feel like I have gotten the things in life that I want, but I feel like it took me a lot longer to get them than it should have. So, I feel somewhat left behind even if I got to where I needed to be if that makes sense.",6,2,5,6,6,6,3,"delayed progress, time management, personal expectations",4,1,3,3,1,2,3,3,2,0.551057479503235,"Personal growth",6,2,1,5,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,38,"man","White","MA","$180,001-$200,000",10,5,1,1,1,0,0,NA
