"reason","cluster"
"none",1
"economic struggles",7
"career stagnation",9
"lack of family",8
"housing insecurity",7
"low income",7
"disability",4
"lack of benefits",8
"medical documentation",4
"financial instability",7
"peer comparison",3
"educational inequality",6
"zoning restrictions",4
"economic disparity",6
"opportunity gap",6
"unemployment",9
"gig work",9
"financial stress",7
"self-fulfillment",1
"financial struggles",7
"health insurance",7
"qualification gaps",4
"lack of experiences",8
"social skills",1
"personal actions",1
"housing costs",7
"financial disparity",6
"economic changes",7
"gender bias",6
"health studies",3
"unequal demands",6
"lack of support",8
"financial insecurity",7
"lack of milestones",8
"inheritance reliance",2
"retirement concerns",9
"technology",3
"cultural shifts",5
"family expectations",2
"educational gaps",6
"relationship issues",2
"career change",9
"job loss",9
"technology advancement",3
"age concerns",2
"anxiety",1
"trauma",1
"automation impact",3
"single parent",2
"time constraints",4
"employment",9
"income disparity",6
"career progress",9
"personal goals",1
"job market",9
"small town",1
"low pay",9
"ageism",4
"underestimation",8
"stereotypes",1
"exclusion",4
"disrespect",8
"high cost of living",7
"job insecurity",9
"inflation",7
"wage stagnation",9
"different values",1
"nature focus",1
"peer pressure",5
"tech gap",3
"work priorities",9
"lack of representation",8
"political exclusion",4
"financial security",7
"generational comparison",2
"online competition",3
"age discrimination",4
"employment challenges",9
"undervalued experience",8
"knowledge overlooked",8
"high taxes",7
"political neglect",8
"unfair spending",7
"economic conditions",7
"mental health",1
"caregiving responsibilities",2
"covid impact",3
"lack of progress",8
"missed opportunities",8
"sibling favoritism",2
"academic performance",3
"lack of attention",8
"family dynamics",2
"cost of living",7
"single status",2
"resistance to change",1
"political turmoil",5
"traditional values",5
"social isolation",4
"lack of recognition",8
"communication gaps",6
"inequality",6
"philosophy",1
"fewer rights",4
"technology gap",6
"social media",3
"financial strain",7
"education level",3
"health issues",4
"geographic isolation",4
"relationship changes",2
"skill gap",6
"industry changes",3
"competition",1
"knowledge update",3
"economics",7
"education",3
"socialability",5
"upbringing",2
"networking",3
"privilege",1
"representation",1
"social status",5
"status loss",4
"corporate advancement",3
"social exclusion",4
"cultural differences",5
"technological changes",3
"generational differences",2
"career progression",9
"belonging",1
"american dream",1
"income",7
"different perspective",1
"misunderstanding",8
"chronic illness",4
"disability income",7
"mobility issues",4
"societal support",5
"work limitations",4
"nostalgia",1
"cultural shift",5
"complexity",1
"age",2
"hard work",1
"impairment",4
"self-determination",1
"political climate",5
"social values",5
"leadership decisions",1
"discrimination",4
"corruption",1
"travel restrictions",4
"financial limitations",7
"healthcare access",3
"divorce",2
"age comparison",2
"lack of savings",7
"emergency unpreparedness",8
"inadequate medical care",8
"homelessness",4
"drug addiction",1
"social class",5
"education gap",6
"technology access",3
"community support",3
"knowledge gap",6
"education access",3
"job opportunities",9
"food deserts",4
"self-isolation",4
"individual choice",1
"different path",1
"financial support",7
"career uncertainty",9
"health neglect",8
"personal expectations",1
"past rejections",8
"limited access",4
"no concerns",1
"feeling blessed",1
"lucky overall",1
"technology skills",3
"employment instability",9
"basic needs insecurity",7
"economic uncertainty",7
"future anxiety",1
"workforce exclusion",4
"family issues",2
"government neglect",8
"social comparison",1
"government policies",5
"safety concerns",4
"political decisions",5
"citizen priorities",5
"unmet goals",8
"underfunding",8
"policy neglect",8
"self-reliance",1
"personal growth",1
"motivation",1
"independence",1
"initiative",1
"government support",7
