"reason","cluster"
"unfulfilled promises",8
"high expectations",2
"sacrifices made",2
"generational differences",10
"work-life balance",3
"personal setbacks",8
"self-made mistakes",8
"wealth disparity",4
"investment success",7
"equal opportunities",4
"financial support",7
"education access",2
"family resources",1
"economic background",7
"self-reliance",2
"gender discrimination",4
"media portrayal",9
"lack of representation",8
"educational bias",4
"economic disparity",4
"career stagnation",3
"social inequality",4
"racial bias",4
"privilege awareness",2
"job prospects",3
"wealth building",7
"family planning",1
"housing stability",7
"delayed progress",8
"time management",2
"personal expectations",2
"financial struggles",7
"family expectations",1
"peer pressure",9
"personal choices",2
"life milestones",2
"financial stability",7
"relationship status",1
"financial insecurity",7
"technology changes",6
"peer advancement",2
"technology advancement",6
"age gap",10
"digital skills",6
"rapid change",6
"personal responsibility",2
"hard work",2
"self-improvement",2
"goal setting",2
"satisfaction",2
"progress goals",2
"financial constraints",7
"outdated technology",6
"old car",8
"lack of smart appliances",8
"modern lifestyle gap",10
"education gap",10
"financial instability",7
"life choices",2
"wage disparity",4
"goal progress",2
"stress",5
"self-expectations",2
"employment difficulty",3
"low wages",7
"resource scarcity",5
"healthcare costs",7
"insurance expenses",7
"policy influence",9
"lobbying power",9
"rising costs",7
"technology creep",6
"job automation",3
"economic uncertainty",7
"foster care",1
"limited opportunities",5
"lack of resources",8
"economic situation",7
"lower middle class",7
"older generations",10
"life progress",2
"unmet expectations",8
"housing costs",7
"high rent",7
"home buying complexity",7
"peer comparison",2
"social pressure",9
"cultural shifts",9
"feeling outdated",8
"economic inequality",4
"political corruption",9
"social division",9
"government neglect",8
"ageism",10
"job opportunities",3
"loss of family",1
"loss of friends",8
"loneliness",8
"making new friends",2
"education quality",2
"relationship struggles",1
"career uncertainty",3
"business challenges",5
"personal calling",2
"self-employment goals",3
"age discrimination",10
"missed opportunities",8
"late investing",7
"no family",1
"poverty background",7
"lack of guidance",8
"playing catch-up",2
"homeownership",7
"self-comparison",2
"happiness within",2
"peaceful mindset",2
"bad social skills",8
"societal expectations",9
"age judgements",10
"income disparity",4
"wealth gap",4
"student loan debt",7
"bad economy",7
"under-employment",3
"job loss",3
"retirement savings",7
"parental care",1
"technology access",6
"entertainment gap",10
"travel limitations",5
"future planning",2
"income insufficiency",7
"employment barriers",5
"social isolation",8
"no savings",7
"no home ownership",7
"financial disparity",4
"advancement delay",8
"parenthood timing",1
"gender inequality",4
"career expectations",3
"political climate",9
"social status",9
"discrimination",4
"access inequality",4
"different treatment",5
"financial assistance",7
"social security limits",7
"government support",7
"income threshold",7
"veteran benefits",7
"economic status",7
"financial goals",7
"job stability",3
"age concerns",10
"future security",2
"stagnant wages",7
